algorithm,level_pct,instance,cpu_pct
roundrobin,30,srv-10:80,38.191
roundrobin,30,srv-10:80,38.074
roundrobin,30,srv-10:80,37.831
roundrobin,30,srv-10:80,38.558
roundrobin,30,srv-1:80,33.614
roundrobin,30,srv-1:80,31.678
roundrobin,30,srv-1:80,29.898
roundrobin,30,srv-1:80,32.706
roundrobin,30,srv-2:80,31.798
roundrobin,30,srv-2:80,31.506
roundrobin,30,srv-2:80,33.105
roundrobin,30,srv-2:80,33.271
roundrobin,30,srv-3:80,31.890
roundrobin,30,srv-3:80,31.939
roundrobin,30,srv-3:80,32.442
roundrobin,30,srv-3:80,33.061
roundrobin,30,srv-4:80,31.615
roundrobin,30,srv-4:80,31.731
roundrobin,30,srv-4:80,32.520
roundrobin,30,srv-4:80,33.475
roundrobin,30,srv-5:80,32.042
roundrobin,30,srv-5:80,32.060
roundrobin,30,srv-5:80,32.535
roundrobin,30,srv-5:80,31.710
roundrobin,30,srv-6:80,31.636
roundrobin,30,srv-6:80,33.475
roundrobin,30,srv-6:80,32.944
roundrobin,30,srv-6:80,32.934
roundrobin,30,srv-7:80,36.658
roundrobin,30,srv-7:80,37.673
roundrobin,30,srv-7:80,37.402
roundrobin,30,srv-7:80,35.936
roundrobin,30,srv-8:80,36.429
roundrobin,30,srv-8:80,36.514
roundrobin,30,srv-8:80,33.784
roundrobin,30,srv-8:80,35.434
roundrobin,30,srv-9:80,37.034
roundrobin,30,srv-9:80,39.312
roundrobin,30,srv-9:80,38.949
roundrobin,30,srv-9:80,38.147
roundrobin,103,srv-10:80,119.418
roundrobin,103,srv-10:80,151.181
roundrobin,103,srv-10:80,168.368
roundrobin,103,srv-10:80,108.364
roundrobin,103,srv-10:80,87.410
roundrobin,103,srv-1:80,110.439
roundrobin,103,srv-1:80,113.300
roundrobin,103,srv-1:80,115.884
roundrobin,103,srv-1:80,111.386
roundrobin,103,srv-1:80,84.940
roundrobin,103,srv-2:80,109.146
roundrobin,103,srv-2:80,107.645
roundrobin,103,srv-2:80,107.677
roundrobin,103,srv-2:80,108.215
roundrobin,103,srv-2:80,86.113
roundrobin,103,srv-3:80,102.754
roundrobin,103,srv-3:80,110.539
roundrobin,103,srv-3:80,108.306
roundrobin,103,srv-3:80,107.179
roundrobin,103,srv-3:80,109.280
roundrobin,103,srv-4:80,114.974
roundrobin,103,srv-4:80,111.964
roundrobin,103,srv-4:80,110.300
roundrobin,103,srv-4:80,109.695
roundrobin,103,srv-4:80,78.540
roundrobin,103,srv-5:80,130.192
roundrobin,103,srv-5:80,133.175
roundrobin,103,srv-5:80,132.882
roundrobin,103,srv-5:80,128.065
roundrobin,103,srv-5:80,95.543
roundrobin,103,srv-6:80,121.926
roundrobin,103,srv-6:80,129.077
roundrobin,103,srv-6:80,127.018
roundrobin,103,srv-6:80,132.152
roundrobin,103,srv-6:80,118.706
roundrobin,103,srv-7:80,135.819
roundrobin,103,srv-7:80,144.525
roundrobin,103,srv-7:80,135.610
roundrobin,103,srv-7:80,131.161
roundrobin,103,srv-7:80,100.870
roundrobin,103,srv-8:80,113.691
roundrobin,103,srv-8:80,138.477
roundrobin,103,srv-8:80,133.773
roundrobin,103,srv-8:80,133.576
roundrobin,103,srv-8:80,136.521
roundrobin,103,srv-9:80,92.833
roundrobin,103,srv-9:80,120.699
roundrobin,103,srv-9:80,135.182
roundrobin,103,srv-9:80,132.923
roundrobin,103,srv-9:80,127.022
prequal,30,srv-10:80,3.635
prequal,30,srv-10:80,2.447
prequal,30,srv-10:80,2.599
prequal,30,srv-10:80,2.642
prequal,30,srv-1:80,58.433
prequal,30,srv-1:80,64.766
prequal,30,srv-1:80,70.782
prequal,30,srv-1:80,63.711
prequal,30,srv-2:80,64.529
prequal,30,srv-2:80,67.288
prequal,30,srv-2:80,62.583
prequal,30,srv-2:80,54.236
prequal,30,srv-3:80,69.315
prequal,30,srv-3:80,68.103
prequal,30,srv-3:80,66.015
prequal,30,srv-3:80,68.901
prequal,30,srv-4:80,67.181
prequal,30,srv-4:80,68.664
prequal,30,srv-4:80,67.174
prequal,30,srv-4:80,68.819
prequal,30,srv-5:80,7.310
prequal,30,srv-5:80,4.197
prequal,30,srv-5:80,24.785
prequal,30,srv-5:80,53.774
prequal,30,srv-6:80,26.899
prequal,30,srv-6:80,42.675
prequal,30,srv-6:80,36.042
prequal,30,srv-6:80,6.367
prequal,30,srv-7:80,26.849
prequal,30,srv-7:80,35.779
prequal,30,srv-7:80,30.529
prequal,30,srv-7:80,33.776
prequal,30,srv-8:80,2.470
prequal,30,srv-8:80,3.802
prequal,30,srv-8:80,3.854
prequal,30,srv-8:80,2.510
prequal,30,srv-9:80,18.584
prequal,30,srv-9:80,3.892
prequal,30,srv-9:80,4.463
prequal,30,srv-9:80,5.197
prequal,103,srv-10:80,46.417
prequal,103,srv-10:80,62.179
prequal,103,srv-10:80,49.365
prequal,103,srv-10:80,25.974
prequal,103,srv-10:80,14.405
prequal,103,srv-1:80,222.566
prequal,103,srv-1:80,177.853
prequal,103,srv-1:80,167.106
prequal,103,srv-1:80,209.140
prequal,103,srv-1:80,173.676
prequal,103,srv-2:80,188.949
prequal,103,srv-2:80,200.690
prequal,103,srv-2:80,193.483
prequal,103,srv-2:80,203.537
prequal,103,srv-2:80,158.759
prequal,103,srv-3:80,191.229
prequal,103,srv-3:80,214.197
prequal,103,srv-3:80,211.862
prequal,103,srv-3:80,195.504
prequal,103,srv-3:80,186.358
prequal,103,srv-4:80,216.190
prequal,103,srv-4:80,216.308
prequal,103,srv-4:80,213.324
prequal,103,srv-4:80,214.721
prequal,103,srv-4:80,165.630
prequal,103,srv-5:80,151.684
prequal,103,srv-5:80,155.869
prequal,103,srv-5:80,165.614
prequal,103,srv-5:80,155.487
prequal,103,srv-5:80,135.473
prequal,103,srv-6:80,85.679
prequal,103,srv-6:80,73.221
prequal,103,srv-6:80,139.860
prequal,103,srv-6:80,168.034
prequal,103,srv-6:80,159.592
prequal,103,srv-7:80,83.725
prequal,103,srv-7:80,74.295
prequal,103,srv-7:80,63.753
prequal,103,srv-7:80,70.890
prequal,103,srv-7:80,41.495
prequal,103,srv-8:80,74.182
prequal,103,srv-8:80,83.159
prequal,103,srv-8:80,102.411
prequal,103,srv-8:80,88.639
prequal,103,srv-8:80,65.467
prequal,103,srv-9:80,44.453
prequal,103,srv-9:80,59.449
prequal,103,srv-9:80,60.460
prequal,103,srv-9:80,57.202
prequal,103,srv-9:80,72.428
