algorithm	level_pct	target_qps	rps	p50_ms	p90_ms	p99_ms	error_pct
prequal	30	592	591.97	10.725	24.135	39.020	0.000
roundrobin	30	592	591.91	10.897	25.504	45.060	0.000
prequal	75	1480	1479.77	11.845	27.486	52.291	0.000
roundrobin	75	1480	1479.50	14.867	128.770	541.936	0.000
prequal	83	1638	1637.87	12.188	28.719	57.126	0.000
roundrobin	83	1638	1635.93	15.684	368.952	1475.249	0.004
prequal	93	1836	1835.84	12.861	31.108	67.108	0.000
roundrobin	93	1836	1820.61	16.384	810.328	3790.501	0.460
prequal	103	2033	2032.48	13.645	33.653	79.696	0.000
roundrobin	103	2033	1984.86	17.101	1405.825	5000.305	1.892
prequal	114	2250	2249.74	14.977	37.864	88.081	0.000
roundrobin	114	2250	2150.54	17.894	2112.234	5000.552	3.723
prequal	127	2507	2506.41	16.467	43.165	113.571	0.000
roundrobin	127	2507	2319.51	18.815	3260.034	5000.649	6.515
prequal	141	2783	2781.25	19.542	61.558	281.258	0.000
roundrobin	141	2783	2548.45	20.060	3800.762	5000.641	7.460
prequal	157	3099	3095.72	22.399	84.247	554.271	0.000
roundrobin	157	3099	2730.27	21.698	5000.087	5000.691	10.847
prequal	174	3435	2418.74	2901.073	5000.246	5001.116	23.710
roundrobin	174	3435	2919.56	24.755	5000.170	5000.735	13.597
