algorithm	level_pct	target_qps	rps	p50_ms	p90_ms	p99_ms	error_pct
prequal	30	592	591.96	11.481	26.075	44.074	0.000
roundrobin	30	592	591.95	11.176	26.378	46.951	0.000
prequal	75	1480	1479.83	12.496	29.476	60.335	0.000
roundrobin	75	1480	1479.80	12.856	36.874	95.765	0.000
prequal	83	1638	1637.85	12.593	29.756	60.777	0.000
roundrobin	83	1638	1637.77	13.443	44.691	138.433	0.000
prequal	93	1836	1835.74	13.008	30.946	68.369	0.000
roundrobin	93	1836	1835.31	14.869	75.889	325.459	0.000
prequal	103	2033	2032.76	13.213	31.360	66.946	0.000
roundrobin	103	2033	2029.05	17.022	356.179	2253.220	0.086
prequal	114	2250	2249.68	13.736	32.827	72.200	0.000
roundrobin	114	2250	2207.95	18.266	1004.750	5000.221	1.449
prequal	127	2507	2506.77	14.137	33.681	75.258	0.000
roundrobin	127	2507	2397.19	19.391	1947.825	5000.490	3.677
prequal	141	2783	2782.29	15.213	36.406	82.968	0.000
roundrobin	141	2783	2588.29	20.631	3047.959	5000.613	6.043
prequal	157	3099	3098.70	17.467	44.094	128.560	0.000
roundrobin	157	3099	2789.92	22.204	4431.401	5000.658	8.898
prequal	174	3435	3434.07	22.253	61.144	178.004	0.000
roundrobin	174	3435	2976.79	25.170	5000.157	5000.702	12.064
